,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
,,,,,,,,
23.126,53.13388,T,Jednorodzinna,SUCHE,worek,,,
23.126,53.13388,T,Jednorodzinna,gabaryty,kontener,,,
23.126,53.13388,T,Jednorodzinna,popiół,worek,,,
23.126,53.13388,T,Jednorodzinna,szkło,worek,,,
23.126,53.13388,T,Jednorodzinna,zielone,worek,,,
23.126,53.13388,T,Jednorodzinna,zmieszane,120,18014398708579200,4000000BDDFB80,4000000BDDFB80
23.126,53.13388,T,Jednorodzinna,SUCHE,worek,,,
23.126,53.13388,T,Jednorodzinna,gabaryty,kontener,,,
23.126,53.13388,T,Jednorodzinna,popiół,worek,,,
23.126,53.13388,T,Jednorodzinna,szkło,worek,,,
23.126,53.13388,T,Jednorodzinna,zielone,worek,,,
23.126,53.13388,T,Jednorodzinna,zmieszane,120,18014398708580923,4000000BDE023B,4000000BDE023B
23.125742,53.133667,T,Jednorodzinna,SUCHE,worek,,,
23.125742,53.133667,T,Jednorodzinna,gabaryty,kontener,,,
23.125742,53.133667,T,Jednorodzinna,popiół,worek,,,
23.125742,53.133667,T,Jednorodzinna,szkło,worek,,,
23.125742,53.133667,T,Jednorodzinna,zielone,worek,,,
23.125742,53.133667,T,Jednorodzinna,zmieszane,120,18014398708574879,4000000BDDEA9F,4000000BDDEA9F
23.125876,53.133711,T,Jednorodzinna,SUCHE,worek,,,
23.125876,53.133711,T,Jednorodzinna,gabaryty,kontener,,,
23.125876,53.133711,T,Jednorodzinna,popiół,worek,,,
23.125876,53.133711,T,Jednorodzinna,szkło,worek,,,
23.125876,53.133711,T,Jednorodzinna,zielone,worek,,,
23.125876,53.133711,T,Jednorodzinna,zmieszane,120,18014398708574097,4000000BDDE791,4000000BDDE791
23.125836,53.133804,T,Jednorodzinna,SUCHE,worek,,,
23.125836,53.133804,T,Jednorodzinna,gabaryty,kontener,,,
23.125836,53.133804,T,Jednorodzinna,popiół,worek,,,
23.125836,53.133804,T,Jednorodzinna,szkło,worek,,,
23.125836,53.133804,T,Jednorodzinna,zielone,worek,,,
23.125836,53.133804,T,Jednorodzinna,zmieszane,120,18014398708579796,4000000BDDFDD4,4000000BDDFDD4
23.125613,53.133587,T,Jednorodzinna,SUCHE,worek,,,
23.125613,53.133587,T,Jednorodzinna,gabaryty,kontener,,,
23.125613,53.133587,T,Jednorodzinna,popiół,worek,,,
23.125613,53.133587,T,Jednorodzinna,szkło,worek,,,
23.125613,53.133587,T,Jednorodzinna,zielone,worek,,,
23.125613,53.133587,T,Jednorodzinna,zmieszane,120,18014398708575115,4000000BDDEB8B,4000000BDDEB8B
23.125613,53.133587,T,Jednorodzinna,SUCHE,worek,,,
23.125613,53.133587,T,Jednorodzinna,gabaryty,kontener,,,
23.125613,53.133587,T,Jednorodzinna,popiół,worek,,,
23.125613,53.133587,T,Jednorodzinna,szkło,worek,,,
23.125613,53.133587,T,Jednorodzinna,zielone,worek,,,
23.125613,53.133587,T,Jednorodzinna,zmieszane,120,18014398708575230,4000000BDDEBFE,4000000BDDEBFE
23.125249,53.133427,T,Jednorodzinna,SUCHE,worek,,,
23.125249,53.133427,T,Jednorodzinna,gabaryty,kontener,,,
23.125249,53.133427,T,Jednorodzinna,popiół,worek,,,
23.125249,53.133427,T,Jednorodzinna,szkło,worek,,,
23.125249,53.133427,T,Jednorodzinna,zielone,worek,,,
23.125249,53.133427,T,Jednorodzinna,zmieszane,120,18014398708575619,4000000BDDED83,4000000BDDED83
23.125249,53.133427,T,Jednorodzinna,SUCHE,worek,,,
