,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Identyfikator punktu,Opis punktu,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
,,,,,,,,
23.241564,53.086898,2/V,015952,SUCHE,worek,,,
23.241564,53.086898,2/V,015952,popiół,worek,,,
23.241564,53.086898,2/V,015952,szkło,worek,,,
23.241564,53.086898,2/V,015952,zielone,worek,,,
23.241564,53.086898,2/V,015952,zmieszane,120,18014398706744584,4000000BC1FD08,4000000BC1FD08
23.241564,53.086898,2/V,015952,wielkogabaryty,worek,,,
23.242453,53.086756,3/V,003087,SUCHE,worek,,,
23.242453,53.086756,3/V,003087,popiół,worek,,,
23.242453,53.086756,3/V,003087,szkło,worek,,,
23.242453,53.086756,3/V,003087,zielone,worek,,,
23.242453,53.086756,3/V,003087,zmieszane,240,18014398706755234,4000000BC226A2,4000000BC226A2
23.242453,53.086756,3/V,003087,wielkogabaryty,worek,,,
23.240609,53.086982,4/V,005813,SUCHE,worek,,,
23.240609,53.086982,4/V,005813,popiół,worek,,,
23.240609,53.086982,4/V,005813,szkło,worek,,,
23.240609,53.086982,4/V,005813,zielone,worek,,,
23.240609,53.086982,4/V,005813,zmieszane,120,18014398706744368,4000000BC1FC30,4000000BC1FC30
23.240609,53.086982,4/V,005813,wielkogabaryty,worek,,,
23.241404,53.08692,5/V,003838,SUCHE,worek,,,
23.241404,53.08692,5/V,003838,popiół,worek,,,
23.241404,53.08692,5/V,003838,szkło,worek,,,
23.241404,53.08692,5/V,003838,zielone,worek,,,
23.241404,53.08692,5/V,003838,zmieszane,120,18014398706746990,4000000BC2066E,4000000BC2066E
23.241404,53.08692,5/V,003838,wielkogabaryty,worek,,,
23.241404,53.08692,6/V,010203,SUCHE,worek,,,
23.241404,53.08692,6/V,010203,popiół,worek,,,
23.241404,53.08692,6/V,010203,szkło,worek,,,
23.241404,53.08692,6/V,010203,zielone,worek,,,
23.241404,53.08692,6/V,010203,zmieszane,240,18014398706762595,4000000BC24363,4000000BC24363
23.241404,53.08692,6/V,010203,wielkogabaryty,worek,,,
23.241564,53.086898,7/V,003726,SUCHE,worek,,,
23.241564,53.086898,7/V,003726,popiół,worek,,,
23.241564,53.086898,7/V,003726,szkło,worek,,,
23.241564,53.086898,7/V,003726,zielone,worek,,,
