,,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Identyfikator punktu,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
,,,,,,,,,
23.126,53.13388,1000001,T,Jednorodzinna,SUCHE,worek,,,
23.126,53.13388,1000001,T,Jednorodzinna,gabaryty,kontener,,,
23.126,53.13388,1000001,T,Jednorodzinna,popiół,worek,,,
23.126,53.13388,1000001,T,Jednorodzinna,szkło,worek,,,
23.126,53.13388,1000001,T,Jednorodzinna,zielone,worek,,,
23.126,53.13388,1000001,T,Jednorodzinna,zmieszane,120,18014398708579200,4000000BDDFB80,4000000BDDFB80
23.126,53.13388,1000002,T,Jednorodzinna,SUCHE,worek,,,
23.126,53.13388,1000002,T,Jednorodzinna,gabaryty,kontener,,,
23.126,53.13388,1000002,T,Jednorodzinna,popiół,worek,,,
23.126,53.13388,1000002,T,Jednorodzinna,szkło,worek,,,
23.126,53.13388,1000002,T,Jednorodzinna,zielone,worek,,,
23.126,53.13388,1000002,T,Jednorodzinna,zmieszane,120,18014398708580923,4000000BDE023B,4000000BDE023B
23.125742,53.133667,1000003,T,Jednorodzinna,SUCHE,worek,,,
23.125742,53.133667,1000003,T,Jednorodzinna,gabaryty,kontener,,,
23.125742,53.133667,1000003,T,Jednorodzinna,popiół,worek,,,
23.125742,53.133667,1000003,T,Jednorodzinna,szkło,worek,,,
23.125742,53.133667,1000003,T,Jednorodzinna,zielone,worek,,,
23.125742,53.133667,1000003,T,Jednorodzinna,zmieszane,120,18014398708574879,4000000BDDEA9F,4000000BDDEA9F
23.125876,53.133711,1000004,T,Jednorodzinna,SUCHE,worek,,,
23.125876,53.133711,1000004,T,Jednorodzinna,gabaryty,kontener,,,
23.125876,53.133711,1000004,T,Jednorodzinna,popiół,worek,,,
23.125876,53.133711,1000004,T,Jednorodzinna,szkło,worek,,,
23.125876,53.133711,1000004,T,Jednorodzinna,zielone,worek,,,
23.125876,53.133711,1000004,T,Jednorodzinna,zmieszane,120,18014398708574097,4000000BDDE791,4000000BDDE791
23.125836,53.133804,1000005,T,Jednorodzinna,SUCHE,worek,,,
23.125836,53.133804,1000005,T,Jednorodzinna,gabaryty,kontener,,,
23.125836,53.133804,1000005,T,Jednorodzinna,popiół,worek,,,
23.125836,53.133804,1000005,T,Jednorodzinna,szkło,worek,,,
23.125836,53.133804,1000005,T,Jednorodzinna,zielone,worek,,,
23.125836,53.133804,1000005,T,Jednorodzinna,zmieszane,120,18014398708579796,4000000BDDFDD4,4000000BDDFDD4
23.125613,53.133587,1000006,T,Jednorodzinna,SUCHE,worek,,,
23.125613,53.133587,1000006,T,Jednorodzinna,gabaryty,kontener,,,
23.125613,53.133587,1000006,T,Jednorodzinna,popiół,worek,,,
23.125613,53.133587,1000006,T,Jednorodzinna,szkło,worek,,,
23.125613,53.133587,1000006,T,Jednorodzinna,zielone,worek,,,
23.125613,53.133587,1000006,T,Jednorodzinna,zmieszane,120,18014398708575115,4000000BDDEB8B,4000000BDDEB8B
23.125613,53.133587,1000007,T,Jednorodzinna,SUCHE,worek,,,
23.125613,53.133587,1000007,T,Jednorodzinna,gabaryty,kontener,,,
23.125613,53.133587,1000007,T,Jednorodzinna,popiół,worek,,,
23.125613,53.133587,1000007,T,Jednorodzinna,szkło,worek,,,
23.125613,53.133587,1000007,T,Jednorodzinna,zielone,worek,,,
23.125613,53.133587,1000007,T,Jednorodzinna,zmieszane,120,18014398708575230,4000000BDDEBFE,4000000BDDEBFE
23.125249,53.133427,1000008,T,Jednorodzinna,SUCHE,worek,,,
23.125249,53.133427,1000008,T,Jednorodzinna,gabaryty,kontener,,,
23.125249,53.133427,1000008,T,Jednorodzinna,popiół,worek,,,
23.125249,53.133427,1000008,T,Jednorodzinna,szkło,worek,,,
23.125249,53.133427,1000008,T,Jednorodzinna,zielone,worek,,,
23.125249,53.133427,1000008,T,Jednorodzinna,zmieszane,120,18014398708575619,4000000BDDED83,4000000BDDED83
23.125249,53.133427,1000009,T,Jednorodzinna,SUCHE,worek,,,
23.125249,53.133427,1000009,T,Jednorodzinna,gabaryty,kontener,,,
23.125249,53.133427,1000009,T,Jednorodzinna,popiół,worek,,,
23.125249,53.133427,1000009,T,Jednorodzinna,szkło,worek,,,
23.125249,53.133427,1000009,T,Jednorodzinna,zielone,worek,,,
23.125249,53.133427,1000009,T,Jednorodzinna,zmieszane,120,18014398708575632,4000000BDDED90,4000000BDDED90
23.124471,53.132871,1000010,T,Jednorodzinna,SUCHE,worek,,,
23.124471,53.132871,1000010,T,Jednorodzinna,gabaryty,kontener,,,
23.124471,53.132871,1000010,T,Jednorodzinna,popiół,worek,,,
23.124471,53.132871,1000010,T,Jednorodzinna,szkło,worek,,,
23.124471,53.132871,1000010,T,Jednorodzinna,zielone,worek,,,
23.124471,53.132871,1000010,T,Jednorodzinna,zmieszane,120,18014398708575839,4000000BDDEE5F,4000000BDDEE5F
23.124916,53.133147,1000011,T,Jednorodzinna,SUCHE,worek,,,
23.124916,53.133147,1000011,T,Jednorodzinna,gabaryty,kontener,,,
23.124916,53.133147,1000011,T,Jednorodzinna,popiół,worek,,,
23.124916,53.133147,1000011,T,Jednorodzinna,szkło,worek,,,
23.124916,53.133147,1000011,T,Jednorodzinna,zielone,worek,,,
23.124916,53.133147,1000011,T,Jednorodzinna,zmieszane,120,18014398708574188,4000000BDDE7EC,4000000BDDE7EC
23.124587,53.132907,1000012,T,Jednorodzinna,SUCHE,worek,,,
23.124587,53.132907,1000012,T,Jednorodzinna,gabaryty,kontener,,,
23.124587,53.132907,1000012,T,Jednorodzinna,popiół,worek,,,
23.124587,53.132907,1000012,T,Jednorodzinna,szkło,worek,,,
23.124587,53.132907,1000012,T,Jednorodzinna,zielone,worek,,,
23.124587,53.132907,1000012,T,Jednorodzinna,zmieszane,120,18014398708578229,4000000BDDF7B5,4000000BDDF7B5
23.123836,53.132844,1000013,T,Jednorodzinna,SUCHE,worek,,,
23.123836,53.132844,1000013,T,Jednorodzinna,gabaryty,kontener,,,
23.123836,53.132844,1000013,T,Jednorodzinna,popiół,worek,,,
23.123836,53.132844,1000013,T,Jednorodzinna,szkło,worek,,,
23.123836,53.132844,1000013,T,Jednorodzinna,zielone,worek,,,
23.123836,53.132844,1000013,T,Jednorodzinna,zmieszane,120,18014398708580350,4000000BDDFFFE,4000000BDDFFFE
23.124587,53.132907,1000014,T,Jednorodzinna,SUCHE,worek,,,
23.124587,53.132907,1000014,T,Jednorodzinna,gabaryty,kontener,,,
23.124587,53.132907,1000014,T,Jednorodzinna,popiół,worek,,,
23.124587,53.132907,1000014,T,Jednorodzinna,szkło,worek,,,
23.124587,53.132907,1000014,T,Jednorodzinna,zielone,worek,,,
